datetime,open,high,low,close,volume
2026-02-16 22:00:00,1.36288,1.36385,1.3628,1.36328,0
2026-02-16 22:15:00,1.36332,1.36344,1.36314,1.36332,0
2026-02-16 22:30:00,1.36319,1.36322,1.36297,1.36311,0
2026-02-16 22:45:00,1.36311,1.36317,1.36293,1.36315,0
2026-02-16 23:00:00,1.36316,1.36316,1.36232,1.36255,0
2026-02-16 23:15:00,1.36254,1.36262,1.36232,1.36254,0
2026-02-16 23:30:00,1.36253,1.36272,1.36251,1.36271,0
2026-02-16 23:45:00,1.36272,1.36278,1.36249,1.36273,0
2026-02-17 00:00:00,1.36273,1.36293,1.36241,1.3627,0
2026-02-17 00:15:00,1.3627,1.36287,1.36238,1.36242,0
2026-02-17 00:30:00,1.36242,1.36256,1.36189,1.36193,0
2026-02-17 00:45:00,1.36196,1.3622,1.36192,1.36196,0
2026-02-17 01:00:00,1.36196,1.36213,1.36148,1.36172,0
2026-02-17 01:15:00,1.36174,1.36199,1.36165,1.36187,0
2026-02-17 01:30:00,1.36188,1.36201,1.36174,1.3619,0
2026-02-17 01:45:00,1.3619,1.36209,1.36138,1.36169,0
2026-02-17 02:00:00,1.36167,1.36202,1.36131,1.36169,0
2026-02-17 02:15:00,1.36169,1.3619,1.36159,1.36174,0
2026-02-17 02:30:00,1.36173,1.36177,1.36131,1.36139,0
2026-02-17 02:45:00,1.36137,1.3615,1.36119,1.36139,0
2026-02-17 03:00:00,1.36138,1.3614,1.36081,1.36107,0
2026-02-17 03:15:00,1.36107,1.36122,1.36091,1.36101,0
2026-02-17 03:30:00,1.36101,1.36102,1.36063,1.36079,0
2026-02-17 03:45:00,1.36079,1.36132,1.36071,1.36128,0
2026-02-17 04:00:00,1.36129,1.36134,1.3607,1.36079,0
2026-02-17 04:15:00,1.36079,1.36107,1.3607,1.36107,0
2026-02-17 04:30:00,1.36107,1.36119,1.3609,1.36112,0
2026-02-17 04:45:00,1.36112,1.36133,1.36112,1.36118,0
2026-02-17 05:00:00,1.36118,1.36121,1.36078,1.36078,0
2026-02-17 05:15:00,1.36078,1.36081,1.36037,1.36081,0
2026-02-17 05:30:00,1.36081,1.36093,1.36056,1.36061,0
2026-02-17 05:45:00,1.36061,1.36079,1.36051,1.36073,0
2026-02-17 06:00:00,1.36074,1.36123,1.36074,1.36122,0
2026-02-17 06:15:00,1.36122,1.36149,1.36101,1.3613,0
2026-02-17 06:30:00,1.36129,1.36149,1.36118,1.36139,0
2026-02-17 06:45:00,1.36139,1.3614,1.36111,1.3612,0
2026-02-17 07:00:00,1.36121,1.36121,1.35787,1.35791,0
2026-02-17 07:15:00,1.35791,1.35794,1.35696,1.35714,0
2026-02-17 07:30:00,1.35714,1.35722,1.3553,1.35613,0
2026-02-17 07:45:00,1.35614,1.35629,1.35524,1.35629,0
2026-02-17 08:00:00,1.35629,1.35758,1.35614,1.35653,0
2026-02-17 08:15:00,1.35652,1.35794,1.35649,1.35778,0
2026-02-17 08:30:00,1.35778,1.35875,1.35778,1.3587,0
2026-02-17 08:45:00,1.3587,1.35906,1.35857,1.35857,0
2026-02-17 09:00:00,1.35857,1.35935,1.35841,1.35889,0
2026-02-17 09:15:00,1.35888,1.35957,1.35888,1.35909,0
2026-02-17 09:30:00,1.3591,1.35975,1.35907,1.35917,0
2026-02-17 09:45:00,1.35919,1.35959,1.3591,1.35915,0
2026-02-17 10:00:00,1.35914,1.35982,1.35895,1.35918,0
2026-02-17 10:15:00,1.35913,1.35993,1.35908,1.35956,0
2026-02-17 10:30:00,1.35954,1.36063,1.3594,1.36,0
2026-02-17 10:45:00,1.36,1.36,1.35928,1.35952,0
2026-02-17 11:00:00,1.35952,1.35982,1.35879,1.3588,0
2026-02-17 11:15:00,1.35879,1.35889,1.35839,1.35879,0
2026-02-17 11:30:00,1.35878,1.35879,1.3576,1.3577,0
2026-02-17 11:45:00,1.35771,1.35772,1.35602,1.35649,0
2026-02-17 12:00:00,1.35651,1.35715,1.35608,1.35682,0
2026-02-17 12:15:00,1.35681,1.35696,1.35551,1.35612,0
2026-02-17 12:30:00,1.35613,1.35613,1.35525,1.35529,0
2026-02-17 12:45:00,1.35529,1.35532,1.35471,1.35488,0
2026-02-17 13:00:00,1.35487,1.35504,1.35415,1.35439,0
2026-02-17 13:15:00,1.35439,1.35443,1.35324,1.35414,0
2026-02-17 13:30:00,1.35414,1.35451,1.35269,1.35271,0
2026-02-17 13:45:00,1.35271,1.35389,1.35246,1.35251,0
2026-02-17 14:00:00,1.35249,1.35282,1.35188,1.35209,0
2026-02-17 14:15:00,1.3521,1.35284,1.35189,1.35219,0
2026-02-17 14:30:00,1.35219,1.35323,1.35207,1.35285,0
2026-02-17 14:45:00,1.35288,1.35312,1.3518,1.3521,0
2026-02-17 15:00:00,1.35208,1.35254,1.35118,1.35153,0
2026-02-17 15:15:00,1.35158,1.35214,1.35063,1.35064,0
2026-02-17 15:30:00,1.35063,1.35087,1.34964,1.3506,0
2026-02-17 15:45:00,1.35061,1.35088,1.34959,1.35032,0
2026-02-17 16:00:00,1.35032,1.35197,1.35029,1.35186,0
2026-02-17 16:15:00,1.35185,1.35314,1.35168,1.35281,0
